13	804	1732
4	287	255.44229125976562	147.34825134277344
5	287	177.47825622558594	139.7943572998047
4	288	260.6103210449219	414.0920715332031
5	288	189.3121795654297	412.99420166015625
4	289	286.9077453613281	176.98110961914062
5	289	210.94371032714844	170.45333862304688
4	290	287.923583984375	280.47021484375
5	290	214.11395263671875	275.84130859375
4	291	287.923583984375	280.47021484375
5	291	214.11395263671875	275.84130859375
4	292	298.2305603027344	239.5322723388672
5	292	224.0789794921875	234.04901123046875
4	293	300.8604736328125	257.5987854003906
5	293	227.1027374267578	252.35826110839844
4	294	300.8604736328125	257.5987854003906
5	294	227.1027374267578	252.35826110839844
4	295	305.4989318847656	273.5380554199219
5	295	232.0466766357422	268.53350830078125
4	296	311.52777099609375	202.64840698242188
5	296	236.9741668701172	196.70518493652344
4	297	316.150146484375	327.2237548828125
5	297	243.70860290527344	322.4585876464844
4	298	320.9021301269531	188.05560302734375
5	298	246.33831787109375	181.8893585205078
6	298	162.95826721191406	171.4331512451172
4	299	320.1094970703125	254.9451904296875
5	299	246.69757080078125	249.27774047851562
4	300	322.00787353515625	257.375
5	300	248.6376190185547	251.8494415283203
4	301	331.9651184082031	311.89947509765625
5	301	259.6215515136719	306.6711730957031
6	301	179.15257263183594	299.94140625
4	302	331.9651184082031	311.89947509765625
5	302	259.6215515136719	306.6711730957031
6	302	179.15257263183594	299.94140625
4	303	335.29913330078125	200.99920654296875
5	303	260.95172119140625	194.9084930419922
4	304	339.33453369140625	303.0087890625
5	304	266.8168029785156	297.46441650390625
4	305	339.33453369140625	303.0087890625
5	305	266.8168029785156	297.46441650390625
4	306	345.9957580566406	178.25839233398438
5	306	271.5924377441406	171.84957885742188
6	306	189.72299194335938	161.45440673828125
4	307	345.6554870605469	362.914794921875
5	307	274.0759582519531	357.44451904296875
4	308	351.0495300292969	247.26742553710938
5	308	277.7328796386719	241.3116455078125
4	309	356.3029479980469	124.91024780273438
5	309	281.11773681640625	118.19033813476562
4	310	357.35357666015625	290.1080322265625
5	310	284.7491149902344	284.17108154296875
4	311	358.4795837402344	304.705078125
5	311	286.1409606933594	298.71990966796875
4	312	360.63751220703125	281.41497802734375
5	312	288.1074523925781	275.4149169921875
4	313	361.4490051269531	264.2116394042969
5	313	288.36474609375	258.1435546875
4	314	361.99407958984375	269.13665771484375
5	314	288.9242858886719	263.0830383300781
4	315	363.4298095703125	256.2815856933594
5	315	290.3868713378906	250.07855224609375
4	316	367.4764709472656	162.80404663085938
5	316	292.9068908691406	156.36781311035156
4	317	365.1161804199219	331.81829833984375
5	317	293.0873107910156	325.6922912597656
4	318	370.5587158203125	132.63442993164062
5	318	295.284423828125	126.15245819091797
